k,explained_variance_ratio,cumulative_explained_variance
217,0.0007264645,0.9115749
218,0.00072256656,0.9122975
219,0.0007189064,0.9130164
220,0.0007106009,0.913727
221,0.00070428016,0.9144313
222,0.0007023693,0.91513366
223,0.000691183,0.91582483
224,0.0006845562,0.9165094
225,0.0006807076,0.9171901
226,0.0006723474,0.9178624
227,0.0006706236,0.918533
228,0.0006629406,0.91919595
229,0.0006585454,0.9198545
230,0.00065624184,0.92051077
231,0.0006440359,0.9211548
232,0.00064070337,0.9217955
233,0.000631035,0.9224265
234,0.0006274514,0.923054
235,0.0006254524,0.9236794
236,0.000620992,0.92430043
237,0.0006163991,0.9249168
238,0.00060738035,0.9255242
239,0.00060279004,0.92612696
240,0.0005982611,0.9267252
241,0.000593052,0.9273183
242,0.00059044414,0.9279087
243,0.0005860281,0.92849475
244,0.00057716813,0.9290719
245,0.00057464745,0.92964655
246,0.00056964805,0.9302162
247,0.0005674752,0.9307837
248,0.00056391355,0.9313476
249,0.0005597407,0.93190736
250,0.00055528845,0.93246263
251,0.0005508922,0.9330135
252,0.0005465467,0.9335601
253,0.0005449246,0.934105
254,0.0005394922,0.93464446
255,0.0005367369,0.9351812
256,0.00053330546,0.9357145
257,0.00052619993,0.9362407
258,0.00052290736,0.9367636
259,0.00052079704,0.9372844
260,0.0005177218,0.93780214
261,0.0005126247,0.93831474
262,0.000507964,0.9388227
263,0.00050609926,0.9393288
264,0.0005039277,0.93983275
265,0.0004998293,0.9403326
266,0.00049314176,0.94082576
267,0.0004898092,0.9413156
268,0.00048583158,0.9418014
269,0.0004806525,0.9422821
270,0.00047798312,0.94276005
271,0.0004733383,0.9432334
272,0.00046865336,0.94370204
273,0.00046568553,0.94416773
274,0.00045956695,0.9446273
275,0.0004586365,0.94508594
276,0.0004554992,0.94554144
277,0.00045304233,0.9459945
278,0.0004523432,0.94644684
279,0.00044771287,0.9468945
280,0.00044370227,0.9473382
281,0.00043899557,0.9477772
282,0.00043385522,0.9482111
283,0.00043140657,0.9486425
284,0.00042769467,0.9490702
285,0.00042474314,0.94949496
286,0.00042243671,0.9499174
287,0.00041762285,0.950335
288,0.00041352873,0.95074856
289,0.00041085875,0.9511594
290,0.0004053673,0.9515648
291,0.0004037186,0.9519685
292,0.00040050544,0.952369
293,0.00039722447,0.9527662
294,0.0003942328,0.9531604
295,0.00039223846,0.95355266
296,0.00038751547,0.95394015
297,0.00038153658,0.9543217
298,0.00037934553,0.954701
299,0.00037502122,0.95507604
300,0.00037180277,0.95544785
301,0.00037021423,0.95581806
302,0.00036700274,0.95618504
303,0.00036020647,0.95654523
304,0.00035810343,0.95690334
305,0.00035741646,0.9572607
306,0.0003517022,0.95761245
307,0.00034914745,0.9579616
308,0.00034856534,0.9583102
309,0.0003465475,0.9586567
310,0.00034410445,0.9590008
311,0.0003401645,0.959341
312,0.00033827923,0.95967925
313,0.00033346706,0.96001273
314,0.00033120264,0.96034396
315,0.00032733165,0.9606713
316,0.0003229401,0.96099424
317,0.00032192192,0.96131617
318,0.00032146336,0.9616376
319,0.00031645808,0.96195406
320,0.00031535985,0.9622694
321,0.00031407768,0.9625835
322,0.0003103254,0.9628938
323,0.0003093108,0.9632031
324,0.0003074419,0.9635105
325,0.000303632,0.96381414
326,0.00029844567,0.9641126
327,0.00029660808,0.9644092
328,0.00029448353,0.9647037
329,0.00029228057,0.964996
330,0.00028932025,0.9652853
331,0.00028737748,0.96557266
332,0.00028604377,0.9658587
333,0.00028142874,0.96614015
334,0.0002802225,0.96642035
335,0.0002776376,0.966698
336,0.00027580908,0.9669738
337,0.0002690781,0.96724284
338,0.0002679906,0.9675108
339,0.00026638847,0.9677772
340,0.00026445248,0.96804166
341,0.00026185488,0.9683035
342,0.00025861224,0.9685621
343,0.00025587998,0.968818
344,0.0002543836,0.9690724
345,0.0002526469,0.96932507
346,0.0002510589,0.9695761
347,0.00024890224,0.969825
348,0.000248658,0.9700737
349,0.00024401645,0.9703177
350,0.00024198365,0.9705597
351,0.00024029073,0.9708
352,0.00023754219,0.9710375
353,0.00023383848,0.97127134
354,0.00023345018,0.9715048
355,0.00023169203,0.9717365
356,0.00022774909,0.97196424
357,0.00022688851,0.97219115
358,0.00022252453,0.97241366
359,0.0002216762,0.9726353
360,0.0002191032,0.97285444
361,0.00021811652,0.9730725
362,0.0002164727,0.973289
363,0.00021380608,0.9735028
364,0.00020943355,0.97371227
365,0.0002081465,0.9739204
366,0.0002070708,0.9741275
367,0.00020461665,0.9743321
368,0.00020373172,0.9745358
369,0.00020178393,0.9747376
370,0.0002012543,0.9749388
371,0.0001979623,0.97513676
372,0.00019665863,0.9753334
373,0.00019531288,0.9755287
374,0.00019253846,0.97572124
375,0.00019193617,0.97591317
376,0.00019112353,0.9761043
377,0.00018777951,0.9762921
378,0.00018646504,0.9764785
379,0.00018461337,0.9766631
380,0.00018249436,0.9768456
381,0.00018196636,0.9770276
382,0.00017906714,0.97720665
383,0.0001775805,0.9773842
384,0.00017607582,0.9775603
385,0.00017222312,0.9777325
386,0.00017164854,0.97790414
387,0.0001709278,0.9780751
388,0.00016875536,0.9782438
389,0.00016605748,0.9784099
390,0.00016557953,0.97857547
391,0.00016430503,0.9787398
392,0.00016275387,0.9789026
393,0.0001620612,0.97906464
394,0.00016058082,0.9792252
395,0.00015976632,0.97938496
396,0.00015730665,0.97954226
397,0.00015638105,0.97969866
398,0.00015473858,0.9798534
399,0.00015451976,0.9800079
400,0.00015325384,0.98016113
401,0.00015070099,0.9803118
402,0.00014809646,0.9804599
403,0.00014771527,0.9806076
404,0.00014639022,0.980754
405,0.00014490978,0.9808989
406,0.00014369274,0.9810426
407,0.00014253838,0.98118514
408,0.00014101369,0.98132616
409,0.00013862665,0.9814648
410,0.00013782344,0.9816026
411,0.0001374873,0.9817401
412,0.00013500554,0.9818751
413,0.00013286705,0.982008
414,0.00013221327,0.9821402
415,0.00013079074,0.98227096
416,0.00012960297,0.98240054
417,0.00012859305,0.9825291
418,0.00012785957,0.98265696
419,0.00012653011,0.9827835
420,0.00012501066,0.9829085
421,0.00012368622,0.98303217
422,0.00012284519,0.983155
423,0.00012132932,0.98327637
424,0.000119828524,0.9833962
425,0.000119418604,0.9835156
426,0.000118314536,0.98363394
427,0.00011655116,0.98375046
428,0.0001156272,0.9838661
429,0.00011475241,0.98398083
430,0.00011370176,0.98409456
431,0.0001135334,0.9842081
432,0.000112495625,0.9843206
433,0.0001118479,0.9844324
434,0.000110802444,0.9845432
435,0.00010905628,0.9846523
436,0.000108522465,0.9847608
437,0.00010664598,0.98486745
438,0.00010628145,0.9849737
439,0.00010579268,0.9850795
440,0.000104369494,0.9851839
441,0.000103975864,0.98528785
442,0.00010277002,0.9853906
443,0.00010195883,0.9854926
444,0.00010137221,0.985594
445,0.00010031323,0.9856943
446,9.9513585e-05,0.9857938
447,9.92902e-05,0.98589313
448,9.77566e-05,0.9859909
449,9.69302e-05,0.9860878
450,9.605774e-05,0.9861839
451,9.5743766e-05,0.9862796
