n_neighbors,min_dist,trustworthiness(n=10)
10,0.0,0.9349242181581239
15,0.0,0.9311708413944617
10,0.05,0.9273779281658644
15,0.05,0.9213186193560297
50,0.0,0.9199530520186101
10,0.1,0.9176479995759625
30,0.0,0.9157952346964979
15,0.1,0.9114256956635775
80,0.0,0.9106386275717551
50,0.05,0.9086291561837727
30,0.1,0.9055429301352624
