k,real_any_overlap_mean(labeled_only),shuffle_any_overlap_mean(labeled_only),lift(real/shuffle)
5,0.8815195560455322,0.29568788409233093,2.9812501744923394
10,0.8765143752098083,0.29209446907043457,3.000790730475793
20,0.8710728883743286,0.29500773549079895,2.9527120260936233
50,0.8577977418899536,0.2954055368900299,2.9037971018440474
