k,explained_variance_ratio,cumulative_explained_variance
217,0.0007856993,0.9067122
218,0.00077985355,0.90749204
219,0.00077792513,0.90826994
220,0.0007670566,0.909037
221,0.00076042215,0.90979743
222,0.00075726846,0.9105547
223,0.0007493657,0.91130406
224,0.00073997007,0.91204405
225,0.0007388534,0.9127829
226,0.00073437387,0.9135173
227,0.00073351373,0.9142508
228,0.0007219006,0.91497266
229,0.0007149103,0.91568756
230,0.00070681924,0.91639435
231,0.00070159504,0.91709596
232,0.00069837767,0.91779435
233,0.0006889607,0.9184833
234,0.0006822406,0.91916555
235,0.0006791821,0.91984475
236,0.00067482766,0.9205196
237,0.00066296995,0.9211826
238,0.0006611448,0.9218437
239,0.00065559975,0.9224993
240,0.00065004994,0.92314935
241,0.0006458832,0.9237952
242,0.00064215215,0.9244374
243,0.0006363274,0.92507374
244,0.00063163997,0.9257054
245,0.0006311234,0.92633647
246,0.00062436215,0.9269608
247,0.00062065414,0.9275815
248,0.00060971413,0.9281912
249,0.00060445874,0.92879564
250,0.00059764576,0.9293933
251,0.0005939403,0.92998725
252,0.00059143704,0.9305787
253,0.00058759586,0.9311663
254,0.00058172323,0.93174803
255,0.00057947903,0.9323275
256,0.00057494536,0.93290246
257,0.00057220354,0.93347466
258,0.000567257,0.9340419
259,0.0005653828,0.9346073
260,0.0005572519,0.9351646
261,0.0005522117,0.9357168
262,0.0005505711,0.9362674
263,0.0005465078,0.9368139
264,0.0005391979,0.9373531
265,0.0005376789,0.93789077
266,0.0005313412,0.9384221
267,0.0005283882,0.9389505
268,0.0005203319,0.9394708
269,0.00051809684,0.9399889
270,0.0005138925,0.9405028
271,0.0005081462,0.94101095
272,0.00050404255,0.94151497
273,0.0004985317,0.9420135
274,0.0004944438,0.9425079
275,0.00049187645,0.9429998
276,0.0004884407,0.94348824
277,0.00048410008,0.94397235
278,0.00048089953,0.94445324
279,0.00047799232,0.9449312
280,0.00047339252,0.9454046
281,0.0004699819,0.9458746
282,0.00046514074,0.9463397
283,0.00046135177,0.94680107
284,0.00045935836,0.94726044
285,0.0004557018,0.9477161
286,0.0004555645,0.9481717
287,0.00045269047,0.9486244
288,0.00044407233,0.9490684
289,0.0004420829,0.9495105
290,0.00043258714,0.9499431
291,0.0004289274,0.95037204
292,0.00042547192,0.9507975
293,0.00042364254,0.95122117
294,0.0004208561,0.95164204
295,0.00041632348,0.9520584
296,0.00041427245,0.9524726
297,0.00041258804,0.9528852
298,0.0004048445,0.95329005
299,0.00039985057,0.9536899
300,0.0003959542,0.9540858
301,0.000391777,0.9544776
302,0.00038871935,0.95486635
303,0.00038416026,0.9552505
304,0.00038183155,0.9556323
305,0.00037810163,0.9560104
306,0.00037702246,0.9563874
307,0.00037442363,0.95676184
308,0.00037329213,0.95713514
309,0.00036927717,0.9575044
310,0.00036692916,0.9578713
311,0.0003632785,0.9582346
312,0.00036120048,0.9585958
313,0.00035625513,0.95895207
314,0.00035487683,0.95930696
315,0.00035288924,0.9596598
316,0.00034841988,0.96000826
317,0.00034307432,0.96035135
318,0.00034184702,0.9606932
319,0.00033965847,0.96103287
320,0.0003362685,0.96136916
321,0.00033336403,0.9617025
322,0.0003330051,0.96203554
323,0.00032726832,0.9623628
324,0.00032612938,0.962689
325,0.00032374682,0.96301275
326,0.00031757684,0.9633303
327,0.00031730148,0.9636476
328,0.00031318946,0.96396077
329,0.00031088953,0.96427166
330,0.00030600547,0.9645777
331,0.00030520905,0.9648829
332,0.00030281823,0.9651857
333,0.00029948688,0.9654852
334,0.0002962731,0.9657815
335,0.00029529084,0.9660768
336,0.00029279102,0.96636957
337,0.0002857896,0.9666554
338,0.0002851857,0.9669406
339,0.00028221292,0.9672228
340,0.00027970647,0.96750253
341,0.00027893676,0.9677815
342,0.00027646602,0.96805793
343,0.00027584634,0.9683338
344,0.00027222003,0.968606
345,0.00026861316,0.96887463
346,0.00026651047,0.9691411
347,0.00026469625,0.96940583
348,0.00026001668,0.9696658
349,0.0002582814,0.9699241
350,0.00025685134,0.9701809
351,0.00025188387,0.9704328
352,0.00024890073,0.9706817
353,0.0002488628,0.9709306
354,0.00024692435,0.9711775
355,0.0002436681,0.9714212
356,0.00024123679,0.9716624
357,0.00023881691,0.97190124
358,0.00023540658,0.9721366
359,0.00023396751,0.97237056
360,0.00023217671,0.9726027
361,0.00023053848,0.9728333
362,0.00022848473,0.97306174
363,0.00022434376,0.9732861
364,0.00022332593,0.97350943
365,0.0002220184,0.97373146
366,0.00021683522,0.9739483
367,0.00021441608,0.9741627
368,0.00021271732,0.9743754
369,0.00020999319,0.9745854
370,0.00020975925,0.97479516
371,0.00020844277,0.9750036
